league_id,model,interval,predicted_mid,actual_percent,error,matches
12,historical_over,80-85,82.5,88.89,6.39,18
1,poisson_over,50-55,52.5,55.87,3.37,1013
1,poisson_over,55-60,57.5,62.39,4.89,944
1,poisson_over,60-65,62.5,68.73,6.23,806
1,poisson_over,65-70,67.5,70.27,2.77,602
1,poisson_over,70-75,72.5,78.24,5.74,409
1,poisson_over,75-80,77.5,77.84,0.34,176
1,poisson_over,80-85,82.5,89.8,7.3,49
1,poisson_over,85-90,87.5,100.0,12.5,8
1,poisson_btts,50-55,52.5,56.49,3.99,1179
1,poisson_btts,55-60,57.5,64.0,6.5,886
1,poisson_btts,60-65,62.5,69.07,6.57,666
1,poisson_btts,65-70,67.5,70.64,3.14,361
1,poisson_btts,70-75,72.5,71.74,-0.76,138
1,poisson_btts,75-80,77.5,84.78,7.28,46
1,poisson_btts,80-85,82.5,83.33,0.83,6
1,historical_over,50-55,52.5,53.31,0.81,1966
1,historical_over,55-60,57.5,59.96,2.46,1436
1,historical_over,60-65,62.5,63.22,0.72,707
1,historical_over,65-70,67.5,66.67,-0.83,234
1,historical_over,70-75,72.5,76.47,3.97,34
1,historical_over,75-80,77.5,100.0,22.5,12
6,poisson_over,50-55,52.5,52.36,-0.14,974
6,poisson_over,55-60,57.5,62.41,4.91,681
6,poisson_over,60-65,62.5,68.61,6.11,411
6,poisson_over,65-70,67.5,69.74,2.24,228
6,poisson_over,70-75,72.5,82.35,9.85,102
6,poisson_over,75-80,77.5,75.0,-2.5,56
6,poisson_over,80-85,82.5,82.35,-0.15,17
6,poisson_btts,50-55,52.5,56.62,4.12,1194
6,poisson_btts,55-60,57.5,63.81,6.31,771
6,poisson_btts,60-65,62.5,70.17,7.67,409
6,poisson_btts,65-70,67.5,77.12,9.62,153
6,poisson_btts,70-75,72.5,72.41,-0.09,58
6,poisson_btts,75-80,77.5,67.86,-9.64,28
6,historical_over,50-55,52.5,50.7,-1.8,641
6,historical_over,55-60,57.5,50.35,-7.15,286
6,historical_over,60-65,62.5,54.69,-7.81,64
6,historical_over,65-70,67.5,57.14,-10.36,14
5,poisson_over,50-55,52.5,54.32,1.82,983
5,poisson_over,55-60,57.5,60.11,2.61,757
5,poisson_over,60-65,62.5,66.1,3.6,649
5,poisson_over,65-70,67.5,73.04,5.54,460
5,poisson_over,70-75,72.5,78.79,6.29,396
5,poisson_over,75-80,77.5,85.13,7.63,195
5,poisson_over,80-85,82.5,85.42,2.92,48
5,poisson_btts,50-55,52.5,58.35,5.85,1186
5,poisson_btts,55-60,57.5,64.68,7.18,889
5,poisson_btts,60-65,62.5,63.26,0.76,509
5,poisson_btts,65-70,67.5,71.59,4.09,271
5,poisson_btts,70-75,72.5,75.51,3.01,98
5,poisson_btts,75-80,77.5,85.19,7.69,27
5,historical_over,50-55,52.5,53.14,0.64,1447
5,historical_over,55-60,57.5,58.05,0.55,820
5,historical_over,60-65,62.5,63.83,1.33,481
5,historical_over,65-70,67.5,70.76,3.26,236
5,historical_over,70-75,72.5,76.03,3.53,121
5,historical_over,75-80,77.5,87.5,10.0,56
5,historical_over,80-85,82.5,93.75,11.25,16
8,poisson_over,50-55,52.5,54.51,2.01,886
8,poisson_over,55-60,57.5,60.14,2.64,700
8,poisson_over,60-65,62.5,66.15,3.65,455
8,poisson_over,65-70,67.5,74.55,7.05,279
8,poisson_over,70-75,72.5,77.27,4.77,132
8,poisson_over,75-80,77.5,84.91,7.41,53
8,poisson_over,80-85,82.5,90.0,7.5,20
8,poisson_btts,50-55,52.5,59.91,7.41,1135
8,poisson_btts,55-60,57.5,67.12,9.62,806
8,poisson_btts,60-65,62.5,69.06,6.56,459
8,poisson_btts,65-70,67.5,78.87,11.37,194
8,poisson_btts,70-75,72.5,81.71,9.21,82
8,poisson_btts,75-80,77.5,83.33,5.83,18
8,historical_over,50-55,52.5,51.68,-0.82,832
8,historical_over,55-60,57.5,50.15,-7.35,333
8,historical_over,60-65,62.5,61.73,-0.77,81
8,historical_over,65-70,67.5,100.0,32.5,6
7,poisson_over,50-55,52.5,54.05,1.55,988
7,poisson_over,55-60,57.5,58.03,0.53,903
7,poisson_over,60-65,62.5,66.67,4.17,759
7,poisson_over,65-70,67.5,71.29,3.79,519
7,poisson_over,70-75,72.5,79.19,6.69,322
7,poisson_over,75-80,77.5,82.0,4.5,150
7,poisson_over,80-85,82.5,88.68,6.18,53
7,poisson_btts,50-55,52.5,58.88,6.38,1143
7,poisson_btts,55-60,57.5,62.84,5.34,907
7,poisson_btts,60-65,62.5,70.64,8.14,579
7,poisson_btts,65-70,67.5,74.04,6.54,312
7,poisson_btts,70-75,72.5,81.88,9.38,149
7,poisson_btts,75-80,77.5,88.71,11.21,62
7,historical_over,50-55,52.5,54.1,1.6,1963
7,historical_over,55-60,57.5,54.39,-3.11,1138
7,historical_over,60-65,62.5,65.05,2.55,455
7,historical_over,65-70,67.5,62.14,-5.36,140
7,historical_over,70-75,72.5,72.22,-0.28,18
